code,name_en,name_fr,description_en,description_fr
15261,Child soldiers (Prevention and demobilisation),Enfants soldats (Prévention et démobilisation),"Technical co-operation provided to government – and assistance to civil society organisations – to support and apply legislation designed to prevent the recruitment of child soldiers, and to demobilise, disarm, reintegrate, repatriate and resettle (DDR) child soldiers.","Coopération technique en faveur des gouvernements – et assistance aux organisations de la société civile – à l’appui de l’adoption et de l’application de lois destinées à empêcher le recrutement d’enfants en tant que soldats ; appui à la démobilisation, au désarmement, à la réinsertion, au rapatriement et à la réintégration (DDR) des enfants soldats."
16010,Social/ welfare services,Services sociaux,"Social legislation and administration; institution capacity building and advice; social security and other social schemes; special programmes for the elderly, orphans, the disabled, street children; social dimensions of structural adjustment; unspecified social infrastructure and services, including consumer protection.","Législation et administration sociales ; renforcement des capacités institutionnelles et conseils ; sécurité sociale et autres plans sociaux ; programmes spécifiques pour les personnes âgées, orphelins, handicapés, enfants abandonnés ; dimensions sociales de l’ajustement structurel ; infrastructure et services sociaux non spécifiés, y compris la protection des consommateurs."
16020,Employment policy and administrative management,Politique de l’emploi et gestion administrative,Employment policy and planning; labour law; labour unions; institution capacity building and advice; support programmes for unemployed; employment creation and income generation programmes; occupational safety and health; combating child labour.,Politique et planification de l’emploi ; législation ; syndicats ; renforcement des capacités institutionnelles et conseils ; programmes de l’aide aux chômeurs ; programmes de création d’emplois et de génération de revenus ; sécurité et santé dans le travail ; lutte contre le travail des enfants.
16030,Housing policy and administrative management,Politique du logement et gestion administrative,"Housing sector policy, planning and programmes;  excluding low-cost housing and slum clearance (16040).","Politique du logement, planification et programmes ; à l’exclusion du logement à coût réduit (16040)."
16040,Low-cost housing,Logement à coût réduit,Including slum clearance.,Y compris la suppression des bidonvilles.
16050,Multisector aid for basic social services,Aide plurisectorielle pour les services sociaux de base,"Basic social services are defined to include basic education, basic health, basic nutrition, population/reproductive health and basic drinking water supply and basic sanitation.","Les services sociaux de base incluent l’éducation de base, la santé de base, les activités en matière de population/santé et fertilité ainsi que les systèmes de distribution d’eau potable de base et assainissement de base."
16061,Culture and recreation,Culture et loisirs,Including libraries and museums.,Y compris bibliothèques et musées.
16062,Statistical capacity building,Renforcement des capacités statistiques,Both in national statistical offices and any other government ministries.,Dans les offices statistiques nationaux et les autres ministères concernés.
16063,Narcotics control,Lutte contre le trafic de drogues,In-country and customs controls including training of the police; educational programmes and awareness campaigns to restrict narcotics traffic and in-country distribution.,"Contrôles intérieurs et contrôles douaniers y compris la formation de la police, programmes d’éducation et de sensibilisation pour limiter le trafic de drogues et la distribution domestique1.

La comptabilisation dans l’APD des dépenses liées à la lutte contre le trafic de drogues est limitée aux activités qui se focalisent sur le développement économique et l’amélioration du niveau de vie, y compris les programmes de développement alternatifs et la substitution des plantations. Les activités financées par les donneurs pour interdire les provisions de drogues, détruire les plantations ou former ou financer le personnel militaire dans les activités de lutte contre la drogue ne sont pas comptabilisées dans l’APD."
16064,Social mitigation of HIV/AIDS,Atténuation de l’impact social du VIH/sida,"Special programmes to address the consequences of HIV/AIDS, e.g. social, legal and economic assistance to people living with HIV/AIDS including food security and employment; support to vulnerable groups and children orphaned by HIV/AIDS; human rights of HIV/AIDS affected people.","Programmes spéciaux visant les conséquences sociales du VIH/sida, par exemple assistance sociale, juridique et économique aux personnes vivant avec le VIH/sida y compris sécurité alimentaire et emploi ; soutien aux groupes vulnérables et aux enfants orphelins du sida ; droits de l’homme pour les personnes atteintes par le VIH/sida."
21010,Transport policy and administrative management,Politique des transports et gestion administrative,"Transport sector policy, planning and programmes; aid to transport ministries; institution capacity building and advice; unspecified transport; activities that combine road, rail, water and/or air transport.","Politique des transports, planification et programmes ; aide aux ministères du transport ; renforcement des capacités institutionnelles et conseils ; transports non spécifiés ; activités qui recouvrent le transport routier, le transport ferroviaire, le transport par voies d’eau et/ou le transport aérien."
21020,Road transport,Transport routier,"Road infrastructure, road vehicles; passenger road transport, motor passenger cars.","Infrastructure routière, véhicules ; transport routier de voyageurs, voitures particulières."
21030,Rail transport,Transport ferroviaire,"Rail infrastructure, rail equipment, locomotives, other rolling stock; including light rail (tram) and underground systems.","Infrastructure ferroviaire, matériel ferroviaire, locomotives, autre matériel roulant ; y compris les tramways et les métropolitains."
21040,Water transport,Transport par voies d’eau,"Harbours and docks, harbour guidance systems, ships and boats; river and other inland water transport, inland barges and vessels.","Ports et docks, systèmes de guidage, navires et bateaux ; transport sur voies navigables intérieures, bateaux de voies d’eau intérieures."
21050,Air transport,Transport aérien,"Airports, airport guidance systems, aeroplanes, aeroplane maintenance equipment.","Aéroports, systèmes de guidage, avions, équipement d’entretien des avions."
21061,Storage,Stockage,Whether or not related to transportation.,Associé ou non au transport.
21081,Education and training in transport and storage,Éducation/formation dans les transports et le stockage,Whether or not related to transportation.,
22010,Communications policy and administrative management,Politique des communications et gestion administrative,"Communications sector policy, planning and programmes; institution capacity building and advice; including postal services development; unspecified communications activities.","Politique des communications, planification et programmes ; renforcement des capacités institutionnelles et conseils ; y compris développement des services postaux ; activités de communications non spécifiées."
22020,Telecommunications,Télécommunications,"Telephone networks, telecommunication satellites, earth stations.","Réseaux de téléphones, satellites, stations terrestres."
22030,Radio/television/print media,"Radio, télévision, presse écrite","Radio and TV links, equipment; newspapers; printing and publishing.",Liaisons et équipement ; journaux ; imprimerie et édition.
22040,Information and communication technology (ICT),Technologies de l’information et de la communication (TIC),Computer hardware and software; internet access; IT training.  When sector cannot be specified.,Matériel informatique et logiciels ; accès Internet ; formations aux TI. Lorsque le secteur ne peut pas être spécifié.
23010,Energy policy and administrative management,Politique de l’énergie et gestion administrative,"Energy sector policy, planning and programmes; aid to energy ministries; institution capacity building and advice; unspecified energy activities including energy conservation.","Politique de l’énergie, planification et programmes ; aide aux ministères de l’énergie ; renforcement des capacités institutionnelles et conseils ; activités non spécifiées dans le domaine de l’énergie y compris les économies d’énergie."
23020,Power generation/non-renewable sources,Production d’énergie (sources non renouvelables),Thermal power plants including when heat source cannot be determined; combined gas-coal power plants.,Centrales thermiques (lorsque la source de chaleur ne peut être déterminée) ; centrales alimentées au gaz et au charbon.
23030,Power generation/renewable sources,Production d’énergie (sources renouvelables),"Including policy, planning, development programmes, surveys and incentives. Fuelwood/ charcoal production should be included under forestry (31261).","Y compris politique et planification, programmes de développement, études et primes. Production de bois de chauffage et de charbon de bois devrait être incluse dans sylviculture (31261)."
23040,Electrical transmission/ distribution,Transmission et distribution d’électricité,Distribution from power source to end user; transmission lines.,Distribution de la source d’énergie au consommateur ; lignes de transmission.
23050,Gas distribution,Distribution de gaz,Delivery for use by ultimate consumer.,Distribution au consommateur.
23061,Oil-fired power plants,Centrales alimentées au fuel,Including diesel power plants.,Y compris les centrales alimentées au gas-oil.
23062,Gas-fired power plants,Centrales alimentées au gaz,Including diesel power plants.,
23063,Coal-fired power plants,Centrales alimentées au charbon,Including diesel power plants.,
23064,Nuclear power plants,Centrales nucléaires,Including nuclear safety.,"Y compris la sécurité nucléaire.
L’aide visant à favoriser une utilisation pacifique de l’énergie nucléaire est comptabilisable dans l’APD. À titre d’exemples, on citera : la construction ou le déclassement de centrales nucléaires à des fins civiles, le développement ou la fourniture d’isotopes médicaux, l’irradiation des aliments et d’autres applications industrielles et commerciales. Sont par contre exclues les activités de recherche sur les armes nucléaires et les applications militaires de la technologie nucléaire."
23065,Hydro-electric power plants,Centrales et barrages hydroélectriques,Including power-generating river barges.,Y compris les installations sur les barges.
23066,Geothermal energy,Énergie géothermique,Including power-generating river barges.,
23067,Solar energy,Énergie solaire,"Including photo-voltaic cells, solar thermal applications and solar heating.",Y compris les cellules photovoltaïques et les pompes à énergie solaire.
23068,Wind power,Énergie éolienne,Wind energy for water lifting and electric power generation.,Énergie éolienne pour l’hydrodynamique et la production d’électricité.
23069,Ocean power,Énergie marémotrice,"Including ocean thermal energy conversion, tidal and wave power.","Y compris la conversion de l’énergie thermique marine, la puissance des marées et des vagues."
23070,Biomass,Biomasse,"Densification technologies and use of biomass for direct power generation including biogas, gas obtained from sugar cane and other plant residues, anaerobic digesters.","Technologies de densification et utilisation de la biomasse pour la production d’énergie directe, y compris le gaz obtenu par fermentation de la canne à sucre et d’autres résidus végétaux, et par anaérobie."
23081,Energy education/training,Éducation et formation dans le domaine de l’énergie,Applies to all energy sub-sectors; all levels of training.,Se rapporte à tous les sous-secteurs de l’énergie et à tous les niveaux de formation.
23082,Energy research,Recherche dans le domaine de l’énergie,"Including general inventories, surveys.",Y compris inventaires et études.
24010,Financial policy and administrative management,Politique des finances et gestion administrative,"Finance sector policy, planning and programmes; institution capacity building and advice; financial markets and systems.","Politique des finances, planification et  programmes ; renforcement des capacités institutionnelles et conseils ; marchés et systèmes financiers."
24020,Monetary institutions,Institutions monétaires,Central banks.,Banques centrales.
24030,Formal sector financial intermediaries,Intermédiaires financiers officiels,"All formal sector financial intermediaries; credit lines; insurance, leasing, venture capital, etc. (except when focused on only one sector).","Tous les intermédiaires financiers dans le secteur formel ; lignes de crédit ; assurance, crédit-bail, capital-risque, etc. (sauf ceux spécialisés dans un seul secteur)."
24040,Informal/semi-formal financial intermediaries,Intermédiaires financiers du secteur informel et semi formel,"Micro credit, savings and credit co-operatives etc.","Micro crédits, coopératives d’épargne et de crédit, etc."
24081,Education/training in banking and financial services,Éducation/formation dans la banque et les services financiers,"Micro credit, savings and credit co-operatives etc.",
25010,Business support services and institutions,Services et institutions de soutien commerciaux,"Support to trade and business associations, chambers of commerce; legal and regulatory reform aimed at improving business and investment climate; private sector institution capacity building and advice; trade information; public-private sector networking including trade fairs; e‑commerce.  Where sector cannot be specified: general support to private sector enterprises (in particular, use code 32130 for enterprises in the industrial sector).","Soutien aux associations de commerce et d’entreprises, chambres de commerce ; réformes juridiques et réglementaires afin d’améliorer les activités liées à l’entreprise ; renforcement des capacités institutionnelles du secteur privé et conseils ; information commerciale ; réseaux de liaison entre les secteurs public et privé y compris les foires commerciales ; commerce électronique. Quand le secteur ne peut pas être spécifié : soutien général aux entreprises du secteur privé. En particulier, pour les entreprises du secteur industriel, c’est le code 32130 qui doit être utilisé."
25020,Privatisation,Privatisation,"When sector cannot be specified.  Including general state enterprise restructuring or demonopolisation programmes; planning, programming, advice.","Lorsque le secteur ne peut être spécifié. Y compris programmes de restructuration d’entreprises publiques et de démonopolisation ; planification, programmation, conseils."
31110,Agricultural policy and administrative management,Politique agricole et gestion administrative,"Agricultural sector policy, planning and programmes; aid to agricultural ministries;  institution capacity building and advice; unspecified agriculture.","Politique agricole, planification et programmes ; aide aux ministères de l’agriculture ; renforcement des capacités institutionnelles et conseils ; activités d’agriculture non spécifiées."
31120,Agricultural development,Développement agricole,Integrated projects; farm development.,Projets intégrés ; développement d’exploitations agricoles.
31130,Agricultural land resources,Ressources en terres cultivables,"Including soil degradation control; soil improvement; drainage of water logged areas; soil desalination; agricultural land surveys; land reclamation; erosion control, desertification control.","Y compris la lutte contre la dégradation des sols ; amélioration des sols ; drainage des zones inondées ; dessalage des sols ; études des terrains agricoles ; remise en état des sols ; lutte contre l’érosion, lutte contre la désertification."
31140,Agricultural water resources,Ressources en eau à usage agricole,"Irrigation, reservoirs, hydraulic structures, ground water exploitation for agricultural use.","Irrigation, réservoirs, structures hydrauliques, exploitation de nappes phréatiques."
31150,Agricultural inputs,Produits à usage agricole,"Supply of seeds, fertilizers, agricultural machinery/equipment.","Approvisionnement en semences, engrais, matériel et outillage agricoles."
31161,Food crop production,Production agricole,"Including grains (wheat, rice, barley, maize, rye, oats, millet, sorghum); horticulture; vegetables; fruit and berries; other annual and perennial crops. [Use code 32161 for agro-industries.]","Y compris céréales (froment, riz, orge, maïs, seigle, avoine, millet, sorgho) ; horticulture ; légumes ; fruits et baies ; autres cultures annuelles et pluriannuelles. [Utiliser le code 32161 pour les agro-industries.]"
31162,Industrial crops/export crops,Récoltes destinées à l’exportation,"Including sugar; coffee, cocoa, tea; oil seeds, nuts, kernels; fibre crops; tobacco; rubber.  [Use code 32161 for agro-industries.]","Y compris sucre ; café, cacao, thé ; oléagineux, graines, noix, amandes ; fibres ; tabac ; caoutchouc. [Utiliser le  code 32161 pour les agro-industries.]"
31163,Livestock,Bétail,Animal husbandry; animal feed aid.,Toutes formes d’élevage ; aliments pour animaux.
31164,Agrarian reform,Réforme agraire,Including agricultural sector adjustment.,Y compris ajustement structurel dans le secteur agricole.
31165,Agricultural alternative development,Développement agricole alternatif,Projects to reduce illicit drug cultivation through other agricultural marketing and production opportunities (see code 43050 for non-agricultural alternative development).,Projets afin de réduire les cultures illicites (drogue) à travers d’autres opportunités de marketing et production agricoles (voir code 43050 pour développement alternatif non agricole).
31166,Agricultural extension,Vulgarisation agricole,Non-formal training in agriculture.,Formation agricole non formelle.
31181,Agricultural education/training,Éducation et formation dans le domaine agricole,Non-formal training in agriculture.,
31182,Agricultural research,Recherche agronomique,"Plant breeding, physiology, genetic resources, ecology, taxonomy, disease control, agricultural bio-technology; including livestock research (animal health, breeding and genetics, nutrition, physiology).","Étude des espèces végétales, physiologie, ressources génétiques, écologie, taxonomie, lutte contre les maladies, biotechnologie agricole ; y compris recherche vétérinaire (dans les domaines génétiques et sanitaires, nutrition, physiologie)."
31191,Agricultural services,Services agricoles,"Marketing policies & organisation; storage and transportation, creation of strategic reserves.",Organisation et politiques des marchés ; transport et stockage ; établissements de réserves stratégiques.
31192,Plant and post-harvest protection and pest control,"Protection des plantes et des récoltes, lutte antiacridienne","Including integrated plant protection, biological plant protection activities, supply and management of agrochemicals, supply of pesticides, plant protection policy and legislation.","Y compris la protection intégrée des plantes, les activités de protection biologique des plantes, la fourniture et la gestion de substances agrochimiques, l’approvisionnement en pesticides ; politique et législation de la protection des plantes."
31193,Agricultural financial services,Services financiers agricoles,Financial intermediaries for the agricultural sector including credit schemes; crop insurance.,"Intermédiaires financiers du secteur agricole, y compris les plans de crédit ; assurance récoltes."
31194,Agricultural co-operatives,Coopératives agricoles,Including farmers’ organisations.,Y compris les organisations d’agriculteurs.
31195,Livestock/veterinary services,Services vétérinaires (bétail),"Animal health and management, genetic resources, feed resources.","Santé des animaux, ressources génétiques et nutritives."
31210,Forestry policy and administrative management,Politique de la sylviculture et gestion administrative,"Forestry sector policy, planning and programmes; institution capacity building and advice; forest surveys; unspecified forestry and agro-forestry activities.","Politique de la sylviculture, planification et programmes ; renforcement des capacités institutionnelles et conseils ; études des forêts ; activités sylvicoles et agricoles liées à la sylviculture non spécifiées."
31220,Forestry development,Développement sylvicole,"Afforestation for industrial and rural consumption; exploitation and utilisation; erosion control, desertification control; integrated forestry projects.","Boisement pour consommation rurale et industrielle ; exploitation et utilisation ; lutte contre l’érosion, lutte contre la désertification ; projets intégrés."
31261,Fuelwood/charcoal,Reboisement (bois et charbon de bois),Forestry development whose primary purpose is production of fuelwood and charcoal.,Développement sylvicole visant à la production de bois de chauffage et de charbon de bois.
31281,Forestry education/training,Éducation et formation en sylviculture,Forestry development whose primary purpose is production of fuelwood and charcoal.,
31282,Forestry research,Recherche en sylviculture,"Including artificial regeneration, genetic improvement, production methods, fertilizer, harvesting.","Y compris reproduction artificielle et amélioration des espèces, méthodes de production, engrais, coupe et ramassage du bois."
31291,Forestry services,Services sylvicoles,"Including artificial regeneration, genetic improvement, production methods, fertilizer, harvesting.",
31310,Fishing policy and administrative management,Politique de la pêche et gestion administrative,"Fishing sector policy, planning and programmes; institution capacity building and advice; ocean and coastal fishing; marine and freshwater fish surveys and prospecting; fishing boats/equipment; unspecified fishing activities.","Politique de la pêche, planification et programmes ; renforcement des capacités institutionnelles et conseils ; pêche hauturière et côtière ; évaluation, études et prospection du poisson en milieu marin et fluvial ; bateaux et équipements de pêche ; activités de pêche non spécifiées."
31320,Fishery development,Développement de la pêche,Exploitation and utilisation of fisheries; fish stock protection; aquaculture; integrated fishery projects.,Exploitation et utilisation des pêcheries ; sauvegarde des bancs de poisson ; aquaculture ; projets intégrés.
31381,Fishery education/training,Éducation et formation dans le domaine de la pêche,Exploitation and utilisation of fisheries; fish stock protection; aquaculture; integrated fishery projects.,
31382,Fishery research,Recherche dans le domaine de la pêche,Pilot fish culture; marine/freshwater biological research.,Pisciculture pilote ; recherche biologique aquatique.
31391,Fishery services,Services dans le domaine de la pêche,Fishing harbours; fish markets; fishery transport and cold storage.,Ports de pêche ; vente des produits de la pêche ; transport et entreposage frigorifique du poisson.
32110,Industrial policy and administrative management,Politique de l’industrie et gestion administrative,"Industrial sector policy, planning and programmes; institution capacity building and advice; unspecified industrial activities; manufacturing of goods not specified below.","Politique de l’industrie, planification et programmes ; renforcement des capacités institutionnelles et conseils ; activités industrielles non spécifiées ; industries manufacturières non spécifiées ci-dessous."
32120,Industrial development,Développement industriel,"Industrial sector policy, planning and programmes; institution capacity building and advice; unspecified industrial activities; manufacturing of goods not specified below.",
32130,Small and medium-sized enterprises (SME) development,Développement des PME,"Direct support to the development of small and medium-sized enterprises in the industrial sector, including accounting, auditing and advisory services.","Soutien direct au développement des petites et moyennes entreprises dans le secteur industriel, y compris la comptabilité, l’audit et les services de conseil."
32140,Cottage industries and handicraft,Artisanat,"Direct support to the development of small and medium-sized enterprises in the industrial sector, including accounting, auditing and advisory services.",
32161,Agro-industries,Agro-industries,"Staple food processing, dairy products, slaughter houses and equipment, meat and fish processing and preserving, oils/fats, sugar refineries, beverages/tobacco, animal feeds production.","Industries alimentaires de base, abattoirs et équipements nécessaires, industrie laitière et conserves de viande et de poisson, industries des corps gras, sucreries, production de boissons, tabac, production d’aliments pour animaux."
32162,Forest industries,Industries forestières,"Wood production, pulp/paper production.","Industrie et travail du bois, production de papier et pâte à papier."
32163,"Textiles, leather and substitutes","Industrie textile, cuirs et produits similaires",Including knitting factories.,Y compris bonneterie.
32164,Chemicals,Produits chimiques,Industrial and non-industrial production facilities; includes pesticides production.,Production industrielle et non industrielle ; y compris fabrication des pesticides.
32165,Fertilizer plants,Production d’engrais chimiques,Industrial and non-industrial production facilities; includes pesticides production.,
32166,Cement/lime/plaster,"Ciment, chaux et plâtre",Industrial and non-industrial production facilities; includes pesticides production.,
32167,Energy manufacturing,Fabrication d’énergie,Including gas liquefaction; petroleum refineries.,Y compris liquéfaction du gaz ; raffineries de pétrole.
32168,Pharmaceutical production,Produits pharmaceutiques,"Medical equipment/supplies; drugs, medicines, vaccines; hygienic products.",Matériel médical et fournitures médicales ; médicaments et vaccins ; produits d’hygiène corporelle.
32169,Basic metal industries,Industrie métallurgique de base,"Iron and steel, structural metal production.","Sidérurgie, éléments de construction métallique."
32170,Non-ferrous metal industries,Industries des métaux non ferreux,"Iron and steel, structural metal production.",
32171,Engineering,Construction mécanique et électrique,"Manufacturing of electrical and non-electrical machinery, engines/turbines.","Fabrication de machines électriques et non électriques, moteurs et turbines."
32172,Transport equipment industry,Matériel de transport,"Shipbuilding, fishing boats building; railroad equipment; motor vehicles and motor passenger cars; aircraft; navigation/guidance systems.","Construction de navires, construction de bateaux de pêche ; construction de matériel ferroviaire ; véhicules automobiles et voitures particulières ; construction aéronautique ; systèmes de navigation et de guidage."
32182,Technological research and development,Recherche et développement technologiques,Including industrial standards; quality management; metrology;  testing;  accreditation;  certification.,Y compris les standards industriels ; gestion et contrôle de qualité ; métrologie ; accréditation ; certification.
32210,Mineral/mining policy and administrative management,Politique de l’industrie extractive et gestion administrative,"Mineral and mining sector policy, planning and programmes;  mining legislation, mining cadastre, mineral resources inventory, information systems, institution capacity building and advice;  unspecified mineral resources exploitation.","Politique du secteur des industries extractives, planification et programmes ; législation et cadastre, recensement des richesses minérales, systèmes d’information ; renforcement des capacités institutionnelles et conseils ; exploitation des ressources minérales non spécifiées."
32220,Mineral prospection and exploration,Prospection et exploration des minerais,"Geology, geophysics, geochemistry;  excluding hydrogeology (14010) and environmental geology (41010), mineral extraction and processing, infrastructure, technology, economics, safety and environment management.","Géologie, géophysique et géochimie ; à l’exclusion de hydrogéologie (14010) et géologie de l’environnement (41010), production et extraction minérales, infrastructure, technologie, économie, sécurité et gestion de l’environnement."
32261,Coal,Charbon,Including lignite and peat.,Y compris lignite et la tourbe.
32262,Oil and gas,Pétrole et gaz,"Petroleum, natural gas, condensates, liquefied petroleum gas (LPG), liquefied natural gas (LNG);  including drilling and production.","Pétrole, gaz naturel, condensés ; y compris derricks et plates-formes de forage."
32263,Ferrous metals,Métaux ferreux,Iron and ferro-alloy metals.,Fer et alliages.
32264,Nonferrous metals,Métaux non ferreux,"Aluminium, copper, lead, nickel, tin, zinc.","Aluminium, cuivre, plomb, nickel, étain et zinc."
32265,Precious metals/materials,Métaux et minerais précieux,"Gold, silver, platinum, diamonds, gemstones.","Or, argent, platine, diamant et pierres précieuses."
32266,Industrial minerals,Minerais industriels,"Baryte, limestone, feldspar, kaolin, sand, gypsym, gravel, ornamental stones.","Baryte, chaux, feldspath, kaolin, sable, gypse, gravier, pierres d’ornement."
32267,Fertilizer minerals,Engrais minéraux,"Phosphates, potash.","Phosphates, potasse."
32268,Offshore minerals,Ressources des fonds marins,"Polymetallic nodules, phosphorites, marine placer deposits.","Nodules métalliques, phosphorites, sédiments marins."
32310,Construction policy and administrative management,Politique de la construction et gestion administrative,"Construction sector policy and planning; excluding construction activities within specific sectors (e.g., hospital or school construction).","Politique du secteur de la construction, planification ; ne comprend pas les activités de construction identifiables par secteur (par exemple, construction d’hôpitaux ou de bâtiments scolaires)."
33110,Trade policy and administrative management,Politique commerciale et gestion administrative,Trade policy and planning; support to ministries and departments responsible for trade policy; trade-related legislation and regulatory reforms; policy analysis and implementation of multilateral trade agreements e.g. technical barriers to trade and sanitary and phytosanitary measures (TBT/SPS) except at regional level (see 33130); mainstreaming trade in national development strategies (e.g. poverty reduction strategy papers); wholesale/retail trade; unspecified trade and trade promotion activities.,Politique commerciale et planification ; soutien aux ministères et départements responsables de la politique commerciale ; législation et réformes réglementaires dans le domaine du commerce ; analyse politique et mise en œuvre des accords commerciaux multilatéraux ex. sur les obstacles techniques au commerce et les mesures sanitaires et phytosanitaires sauf au niveau régional (voir 33130) ; intégration du commerce dans les stratégies nationales de développement (ex cadres stratégiques de la lutte contre la pauvreté) ; commerce de gros et de détail ; activités non spécifiées dans le domaine du commerce et de la promotion du commerce.
33120,Trade facilitation,Facilitation du commerce,"Simplification and harmonisation of international import and export procedures (e.g. customs valuation, licensing procedures, transport formalities, payments, insurance); support to customs departments; tariff reforms.","Simplification et harmonisation des procédures internationales d’importation et d’exportation (ex. évaluations de douane, procédures de licences, formalités de transport, paiements, assurances) ; soutien aux départements douaniers ; réformes tarifaires."
33130,Regional trade agreements (RTAs),Accords commerciaux régionaux,"Support to regional trade arrangements [e.g. Southern African Development Community (SADC), Association of Southeast Asian Nations (ASEAN), Free Trade Area of the Americas (FTAA), African Caribbean Pacific/European Union (ACP/EU)], including work on technical barriers to trade and sanitary and phytosanitary measures (TBT/SPS) at regional level; elaboration of rules of origin and introduction of special and differential treatment in RTAs.","Soutien aux accords commerciaux régionaux [ex. Southern African Development Community (SADC), Association of Southeast Asian Nations (ASEAN), Zone de libre-échange des Amériques (ZLEA), Pays d’Afrique, des Caraïbes et du Pacifique/Union européenne (ACP/UE)] ; y compris le travail sur les obstacles techniques au commerce et les mesures sanitaires et phytosanitaires au niveau régional ; élaboration de règles d’origine et introduction de traitement spécial et différencié dans les accords commerciaux régionaux."
33140,Multilateral trade negotiations,Négociations commerciales multilatérales,"Support developing countries’ effective participation in multilateral trade negotiations, including training of negotiators, assessing impacts of negotiations; accession to the World Trade Organisation (WTO) and other multilateral trade-related organisations.","Soutien à la participation effective des bénéficiaires de l’aide aux négociations commerciales multilatérales, y compris la formation de négociateurs, l’évaluation de l’impact des négociations ; accession à l’OMC et aux autres organisations multilatérales liées au commerce."
33150,Trade-related adjustment,Ajustement lié au commerce,Contributions to the government budget to assist the implementation of recipients' own trade reforms and adjustments to trade policy measures by other countries; assistance to manage shortfalls in the balance of payments due to changes in the world trading environment.,Contributions au budget du gouvernement non réservées afin de soutenir la mise en œuvre des propres réformes commerciales du bénéficiaire et de ses ajustements aux politiques commerciales des autres pays ; assistance à la gestion des déficits de la balance des paiements dus au changement de l'environnement mondial du commerce.
33181,Trade education/training,Éducation/formation dans le domaine du commerce,Human resources development in trade not included under any of the above codes.  Includes university programmes in trade.,Développement des ressources humaines dans le domaine du commerce non compris dans les codes ci-dessous.  Comprend les programmes universitaires dans le domaine du commerce.
33210,Tourism policy and administrative management,Politique du tourisme et gestion administrative,Human resources development in trade not included under any of the above codes.  Includes university programmes in trade.,
41010,Environmental policy and administrative management,Politique de l’environnement et gestion administrative,"Environmental policy, laws, regulations and economic instruments; administrational institutions and practices; environmental and land use planning and decision-making procedures; seminars, meetings; miscellaneous conservation and protection measures not specified below.","Politique de l’environnement, lois et réglementations environnementales ; institutions et pratiques administratives ; planification de l’environnement et de l’utilisation des terres, procédures de décisions ; séminaires, réunions ; actions de préservation et de protection non spécifiées ci-dessous."
41020,Biosphere protection,Protection de la biosphère,"Air pollution control, ozone layer preservation; marine pollution control.","Lutte contre la pollution de l’air, protection de la couche d’ozone ; lutte contre la pollution marine."
41030,Bio-diversity,Diversité biologique,Including natural reserves and actions in the surrounding areas; other measures to protect endangered or vulnerable species and their habitats (e.g. wetlands preservation).,Y compris réserves naturelles et actions dans les régions environnantes ; autres mesures visant à protéger les espèces menacées dans leur habitat naturel (par exemple la protection des marécages).
41040,Site preservation,Protection des sites,"Applies to unique cultural landscape; including sites/objects of historical, archeological, aesthetic, scientific or educational value.","Se rapporte à un paysage culturel exceptionnel ; y compris des sites et des objets d’une valeur historique, archéologique, esthétique, scientifique ou éducative."
41050,Flood prevention/control,Prévention et lutte contre les inondations,Floods from rivers or the sea; including sea water intrusion control and sea level rise related activities.,Inondations de la mer et des rivières ; y compris la lutte contre l’avancée et la montée du niveau de l’eau de la mer.
41081,Environmental education/ training,Éducation et formation environnementales,Floods from rivers or the sea; including sea water intrusion control and sea level rise related activities.,
41082,Environmental research,Recherche environnementale,"Including establishment of databases, inventories/accounts of physical and natural resources; environmental profiles and impact studies if not sector specific.","Y compris établissement de bases de données, inventaires et estimations des ressources naturelles et physiques ; profils environnementaux et études d’impact lorsque le secteur ne peut être déterminé."
43010,Multisector aid,Aide plurisectorielle,"Including establishment of databases, inventories/accounts of physical and natural resources; environmental profiles and impact studies if not sector specific.",
43030,Urban development and management,Développement et gestion urbaine,Integrated urban development projects; local development and urban management; urban infrastructure and services; municipal finances; urban environmental management; urban development and planning; urban renewal and urban housing; land information systems.,"Projets intégrés de développement urbain ; développement local et gestion urbaine ; infrastructure et services urbains ; gestion municipale ; gestion de l’environnement urbain ; planification ; rénovation urbaine, habitat ; informations sur l’occupation des sols."
43040,Rural development,Développement rural,"Integrated rural development projects;  e.g. regional development planning;  promotion of decentralised and multi-sectoral competence for planning, co-ordination and management;  implementation of regional development and measures (including natural reserve management);  land management;  land use planning; land settlement and resettlement activities [excluding resettlement of refugees and internally displaced persons (72010)]; functional integration of rural and urban areas;  geographical information systems.","Projets intégrés de développement rural, par exemple, planification du développement régional ; encouragement à la décentralisation des compétences plurisectorielles concernant la planification, la coordination et la gestion ; mise en œuvre du développement régional et des mesures d’accompagnement (telle que gestion des ressources naturelles) ; gestion et planification des terres ; peuplement des terres et activités de réinstallation des peuples [à l’exclusion de la réinstallation des réfugiés et des personnes déplacées à l’intérieur du pays (72030)] projets d’intégration des zones rurales et urbaines ; systèmes d’information des zones géographiques."
43050,Non-agricultural alternative development,Développement alternatif non agricole,"Projects to reduce illicit drug cultivation through, for example, non-agricultural income opportunities, social and physical infrastructure (see code 31165 for agricultural alternative development).","Projets visant à réduire les cultures illicites (drogue) à travers, par exemple, des activités créatrices de revenu non agricoles, des infrastructures sociales et physiques (voir code 31165 pour le développement alternatif agricole)."
